OCCTITLE,ANNMEDSAL,STEMFLAG,EDLEVELNUM
Adhesive Bonding Machine Operators and Tenders,44951,NON-STEM,2
"Administrative Law Judges, Adjudicators, and Hearing Officers",93181,NON-STEM,9
Administrative Services Managers,89641,NON-STEM,6
Adult Basic and Secondary Education and Literacy Teachers and Instructors ,51802,NON-STEM,6
Advertising and Promotions Managers,89256,NON-STEM,6
Advertising Sales Agents,56549,NON-STEM,2
"Agents and Business Managers of Artists, Performers, and Athletes",43935,NON-STEM,6
"Agricultural Workers, All Other",43222,NON-STEM,1
Aircraft Cargo Handling Supervisors,43233,NON-STEM,2
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,NON-STEM,2
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,NON-STEM,2
Amusement and Recreation Attendants,23619,NON-STEM,1
Animal Control Workers,56495,NON-STEM,2
Animal Trainers,27736,NON-STEM,2
"Arbitrators, Mediators, and Conciliators",79250,NON-STEM,6
Archivists,61268,NON-STEM,8
Art Directors,89008,NON-STEM,6
"Art, Drama, and Music Teachers, Postsecondary",70703,NON-STEM,8
"Artists and Related Workers, All Other",52566,NON-STEM,1
"Assemblers and Fabricators, All Other",31365,NON-STEM,2
Athletes and Sports Competitors,88228,NON-STEM,1
Audio-Visual and Multimedia Collections Specialists,46845,NON-STEM,6
Automotive and Watercraft Service Attendants,27149.4,NON-STEM,1
Automotive Body and Related Repairers,48918,NON-STEM,2
Automotive Glass Installers and Repairers,37210.93333,NON-STEM,2
Automotive Service Technicians and Mechanics,44338.4,NON-STEM,7
Baggage Porters and Bellhops,22984,NON-STEM,2
Bailiffs,46411.8,NON-STEM,2
Bakers,28707,NON-STEM,1
Barbers,25955,NON-STEM,7
Bartenders,27661.4,NON-STEM,1
Bicycle Repairers,28232.46667,NON-STEM,2
Bill and Account Collectors,37188.8,NON-STEM,2
Billing and Posting Clerks,38384.2,NON-STEM,2
Bridge and Lock Tenders,51393,NON-STEM,2
Broadcast News Analysts,72773,NON-STEM,6
Broadcast Technicians,35550,NON-STEM,5
Brokerage Clerks,52890,NON-STEM,2
"Building Cleaning Workers, All Other",30681.73333,NON-STEM,1
"Bus Drivers, School or Special Client ",34333.4,NON-STEM,2
"Bus Drivers, Transit and Intercity ",43574,NON-STEM,2
Butchers and Meat Cutters,35438.6,NON-STEM,1
Camera and Photographic Equipment Repairers,60886,NON-STEM,5
"Camera Operators, Television, Video, and Motion Picture",51845.1,NON-STEM,6
Cargo and Freight Agents,49598.6,NON-STEM,2
Carpet Installers,41865,NON-STEM,1
Cashiers,27021.2,NON-STEM,1
Cement Masons and Concrete Finishers,46573,NON-STEM,1
Chefs and Head Cooks,48780.8,NON-STEM,2
Chief Executives,197908.6,NON-STEM,6
"Child, Family, and School Social Workers",47861.6,NON-STEM,6
Childcare Workers,24432.6,NON-STEM,2
Choreographers,69808,NON-STEM,2
Cleaners of Vehicles and Equipment,26832,NON-STEM,1
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",30345.45,NON-STEM,1
Clergy,51748.1625,NON-STEM,6
Coaches and Scouts,37492.6,NON-STEM,6
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32932.8,NON-STEM,2
"Coil Winders, Tapers, and Finishers",32000.86667,NON-STEM,2
"Coin, Vending, and Amusement Machine Servicers and Repairers",34540.36667,NON-STEM,2
"Combined Food Preparation and Serving Workers, Including Fast Food",22499,NON-STEM,1
"Communications Equipment Operators, All Other",33702,NON-STEM,2
"Communications Teachers, Postsecondary",54804.4,NON-STEM,9
"Community and Social Service Specialists, All Other",39119.2,NON-STEM,8
Community Health Workers,47489,NON-STEM,2
Compensation and Benefits Managers,98087.9,NON-STEM,6
Compliance Officers,69469.2,NON-STEM,6
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",60632,NON-STEM,2
Computer Operators,42389,NON-STEM,2
"Computer, Automated Teller, and Office Machine Repairers",36430.2,NON-STEM,4
Concierges,29365,NON-STEM,2
"Construction and Related Workers, All Other",41525.75,NON-STEM,2
Construction Laborers,42296.4,NON-STEM,1
Continuous Mining Machine Operators,56172,NON-STEM,1
"Control and Valve Installers and Repairers, Except Mechanical Door",59369.6,NON-STEM,2
Conveyor Operators and Tenders,37871,NON-STEM,1
"Cooks, All Other",31030,NON-STEM,1
"Cooks, Fast Food",22838.6,NON-STEM,1
"Cooks, Institution and Cafeteria",30612.6,NON-STEM,1
"Cooks, Restaurant",26087.6,NON-STEM,1
"Cooks, Short Order",24530.4,NON-STEM,1
Cooling and Freezing Equipment Operators and Tenders,28591.7,NON-STEM,2
Correctional Officers and Jailers,52850.35,NON-STEM,2
Correspondence Clerks,43386.33333,NON-STEM,2
Costume Attendants,43097.53333,NON-STEM,2
"Counselors, All Other",50005.11111,NON-STEM,8
Counter and Rental Clerks,31547.8,NON-STEM,1
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",23453.4,NON-STEM,1
Couriers and Messengers,31278.6,NON-STEM,2
Court Reporters,49005,NON-STEM,7
"Court, Municipal, and License Clerks",45325.6,NON-STEM,2
Craft Artists,39447,NON-STEM,1
Credit Analysts,77934,NON-STEM,6
"Credit Authorizers, Checkers, and Clerks",44221.4,NON-STEM,2
"Criminal Justice and Law Enforcement Teachers, Postsecondary",61379.86667,NON-STEM,9
Crossing Guards,37318.13333,NON-STEM,1
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",34337.58333,NON-STEM,2
Curators,59028.79583,NON-STEM,8
Customer Service Representatives,36671.2,NON-STEM,2
"Cutters and Trimmers, Hand",31649.25,NON-STEM,1
"Cutting and Slicing Machine Setters, Operators, and Tenders",38390.4,NON-STEM,2
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",36503.2,NON-STEM,2
Data Entry Keyers,33781,NON-STEM,2
Demonstrators and Product Promoters,26537,NON-STEM,2
"Designers, All Other",60720.4,NON-STEM,6
Desktop Publishers,48227.06667,NON-STEM,5
Detectives and Criminal Investigators,96192.8,NON-STEM,2
Dining Room and Cafeteria Attendants and Bartender Helpers,22969,NON-STEM,1
"Directors, Religious Activities and Education",50549.25,NON-STEM,6
Dishwashers,22405.2,NON-STEM,1
"Dispatchers, Except Police, Fire, and Ambulance",41800.2,NON-STEM,2
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",26437,NON-STEM,1
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",40949.93333,NON-STEM,2
Driver/Sales Workers,29002,NON-STEM,2
Drywall and Ceiling Tile Installers,49021.2,NON-STEM,1
"Earth Drillers, Except Oil and Gas",56078.6,NON-STEM,2
Editors,60471,NON-STEM,6
"Education Administrators, All Other",67551,NON-STEM,6
"Education Administrators, Elementary and Secondary School",103967,NON-STEM,8
"Education Administrators, Postsecondary",92788.5,NON-STEM,8
"Education Administrators, Preschool and Childcare Center/Program",46110,NON-STEM,6
"Education Teachers, Postsecondary",72441,NON-STEM,9
"Education, Training, and Library Workers, All Other",47800.4,NON-STEM,6
"Educational, Guidance, School, and Vocational Counselors",59361.8,NON-STEM,8
Electrical and Electronic Equipment Assemblers,33956,NON-STEM,2
"Electrical and Electronics Installers and Repairers, Transportation Equipment",67534.13333,NON-STEM,7
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",66412.8,NON-STEM,7
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",83957,NON-STEM,7
Electromechanical Equipment Assemblers,35601,NON-STEM,2
"Electronic Equipment Installers and Repairers, Motor Vehicles",39942.2,NON-STEM,7
Electronic Home Entertainment Equipment Installers and Repairers,47881.4,NON-STEM,7
"Elementary School Teachers, Except Special Education",60884,NON-STEM,6
"Eligibility Interviewers, Government Programs",43962,NON-STEM,2
Embalmers,64162,NON-STEM,7
Engine and Other Machine Assemblers,43224,NON-STEM,2
"English Language and Literature Teachers, Postsecondary",59337.5,NON-STEM,9
"Entertainment Attendants and Related Workers, All Other",25272.75,NON-STEM,2
Etchers and Engravers,41347.26667,NON-STEM,2
Executive Secretaries and Executive Administrative Assistants,52555.2,NON-STEM,2
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",37251.4,NON-STEM,2
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",28855,NON-STEM,2
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",30615.15,NON-STEM,2
Fabric and Apparel Patternmakers,39837.06667,NON-STEM,2
Fallers,44613,NON-STEM,2
Farm and Home Management Advisors,49025,NON-STEM,8
Farm Equipment Mechanics and Service Technicians,39967.85,NON-STEM,2
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",23791.25,NON-STEM,1
"Farmworkers, Farm, Ranch, and Aquacultural Animals",32489,NON-STEM,1
Fashion Designers,60444.06667,NON-STEM,6
Fence Erectors,33048.6,NON-STEM,1
Fiberglass Laminators and Fabricators,32487.66667,NON-STEM,2
File Clerks,32488.2,NON-STEM,2
Film and Video Editors,46147.55,NON-STEM,6
Financial Analysts,83987,NON-STEM,6
"Fine Artists, Including Painters, Sculptors, and Illustrators",67358.53333,NON-STEM,6
Fire Inspectors and Investigators,94285.5,NON-STEM,7
First-Line Supervisors of Correctional Officers,75154.13333,NON-STEM,2
First-Line Supervisors of Food Preparation and Serving Workers,33856,NON-STEM,2
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",51836.4,NON-STEM,2
First-Line Supervisors of Housekeeping and Janitorial Workers,39175.8,NON-STEM,2
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",50184.8,NON-STEM,2
First-Line Supervisors of Non-Retail Sales Workers,81849.6,NON-STEM,2
First-Line Supervisors of Office and Administrative Support Workers,55739.6,NON-STEM,2
First-Line Supervisors of Personal Service Workers,40238.4,NON-STEM,2
First-Line Supervisors of Police and Detectives,98759.4,NON-STEM,2
First-Line Supervisors of Production and Operating Workers,62118,NON-STEM,2
First-Line Supervisors of Retail Sales Workers,46577.6,NON-STEM,2
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,61289.4,NON-STEM,2
Fish and Game Wardens,56079,NON-STEM,6
Fitness Trainers and Aerobics Instructors,40530.4,NON-STEM,2
Flight Attendants,41171.26667,NON-STEM,2
"Floor Layers, Except Carpet, Wood, and Hard Tiles",48219.86667,NON-STEM,1
Floor Sanders and Finishers,45156,NON-STEM,1
Floral Designers,27890,NON-STEM,2
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",32754.1,NON-STEM,1
Food Batchmakers,30712,NON-STEM,2
Food Cooking Machine Operators and Tenders,31135.2,NON-STEM,2
"Food Preparation and Serving Related Workers, All Other",25307.2,NON-STEM,1
Food Preparation Workers,23962.4,NON-STEM,1
"Food Processing Workers, All Other",28080,NON-STEM,1
"Food Servers, Nonrestaurant",23823.6,NON-STEM,1
Food Service Managers,53217,NON-STEM,2
"Foreign Language and Literature Teachers, Postsecondary",57898.26667,NON-STEM,9
Forest and Conservation Workers,25010,NON-STEM,2
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",33792,NON-STEM,2
Foundry Mold and Coremakers,34098.33333,NON-STEM,2
Fundraisers,48593.33333,NON-STEM,6
Funeral Attendants,25109.06667,NON-STEM,2
Funeral Service Managers,63086.88889,NON-STEM,5
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",34919.25,NON-STEM,2
Furniture Finishers,36856.15,NON-STEM,2
Gaming Cage Workers,30962,NON-STEM,2
Gaming Change Persons and Booth Cashiers,27243,NON-STEM,2
Gaming Dealers,23646,NON-STEM,2
Gaming Managers,83308,NON-STEM,2
"Gaming Service Workers, All Other",35182,NON-STEM,2
Gaming Supervisors,44899.4,NON-STEM,2
Gaming Surveillance Officers and Gaming Investigators,31871,NON-STEM,2
General and Operations Managers,114330.8,NON-STEM,6
"Graders and Sorters, Agricultural Products",27193.75,NON-STEM,1
Graduate Teaching Assistants,40914,NON-STEM,6
"Grinding and Polishing Workers, Hand",31244.4,NON-STEM,1
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",35605.6,NON-STEM,2
"Grounds Maintenance Workers, All Other",42077.8,NON-STEM,1
"Hairdressers, Hairstylists, and Cosmetologists",34875.8,NON-STEM,7
Hazardous Materials Removal Workers,50471.65,NON-STEM,2
Healthcare Social Workers,56476.2,NON-STEM,8
"Healthcare Support Workers, All Other",37082.5,NON-STEM,2
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",37817.5,NON-STEM,2
Heavy and Tractor-Trailer Truck Drivers,42857.4,NON-STEM,7
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47823.4,NON-STEM,1
Helpers--Carpenters,29468,NON-STEM,1
Helpers--Electricians,36493.06667,NON-STEM,2
"Helpers--Installation, Maintenance, and Repair Workers",31700.8,NON-STEM,2
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",32117.73333,NON-STEM,1
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",43451,NON-STEM,2
Helpers--Production Workers,27847.4,NON-STEM,1
Helpers--Roofers,32446.75,NON-STEM,1
"Helpers, Construction Trades, All Other",32639,NON-STEM,1
Highway Maintenance Workers,47768.6,NON-STEM,2
Historians,76269.73333,NON-STEM,8
"History Teachers, Postsecondary",76122,NON-STEM,9
Hoist and Winch Operators,64522.73333,NON-STEM,1
Home Appliance Repairers,38832.25,NON-STEM,2
"Home Economics Teachers, Postsecondary",52392,NON-STEM,8
Home Health Aides,26844.2,NON-STEM,1
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",22785.2,NON-STEM,1
"Hotel, Motel, and Resort Desk Clerks",23838,NON-STEM,2
"Human Resources Assistants, Except Payroll and Timekeeping",40155.8,NON-STEM,5
Human Resources Managers,106886.4,NON-STEM,6
Human Resources Specialists,64699.2,NON-STEM,6
"Information and Record Clerks, All Other",38293.2,NON-STEM,2
"Inspectors, Testers, Sorters, Samplers, and Weighers",46787.6,NON-STEM,2
"Installation, Maintenance, and Repair Workers, All Other",47131.2,NON-STEM,2
Instructional Coordinators,61296.4,NON-STEM,8
"Insulation Workers, Floor, Ceiling, and Wall",44716.4,NON-STEM,1
"Insulation Workers, Mechanical",55933.33333,NON-STEM,3
"Insurance Appraisers, Auto Damage",67865,NON-STEM,7
Insurance Claims and Policy Processing Clerks,42414.3,NON-STEM,2
Insurance Sales Agents,57379.6,NON-STEM,2
Interior Designers,52568.85,NON-STEM,6
Interpreters and Translators,45184.6,NON-STEM,6
"Interviewers, Except Eligibility and Loan",35944.6,NON-STEM,2
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",29468,NON-STEM,1
Jewelers and Precious Stone and Metal Workers,46805.9,NON-STEM,2
"Judges, Magistrate Judges, and Magistrates",108640.8,NON-STEM,9
Judicial Law Clerks,55370.1,NON-STEM,9
"Kindergarten Teachers, Except Special Education",57193,NON-STEM,6
Labor Relations Specialists,74792.4,NON-STEM,6
"Laborers and Freight, Stock, and Material Movers, Hand",29465.4,NON-STEM,1
Landscaping and Groundskeeping Workers,30712.6,NON-STEM,1
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",40400.75,NON-STEM,2
Laundry and Dry-Cleaning Workers,25627,NON-STEM,1
"Law Teachers, Postsecondary",119611.7333,NON-STEM,9
Lawyers,112915.8,NON-STEM,9
"Layout Workers, Metal and Plastic",69914.2,NON-STEM,2
Legal Secretaries,45620,NON-STEM,2
"Legal Support Workers, All Other",58673.35,NON-STEM,2
Legislators,81952.33333,NON-STEM,6
Librarians,64494.4,NON-STEM,8
"Library Assistants, Clerical",29119.4,NON-STEM,2
"Library Science Teachers, Postsecondary",92981,NON-STEM,9
Library Technicians,39244.8,NON-STEM,7
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",24244.8,NON-STEM,1
Light Truck or Delivery Services Drivers,36627,NON-STEM,2
Loan Interviewers and Clerks,37109.8,NON-STEM,2
"Locker Room, Coatroom, and Dressing Room Attendants",29476.55,NON-STEM,2
Locksmiths and Safe Repairers,36710.8,NON-STEM,2
Lodging Managers,51539,NON-STEM,2
Log Graders and Scalers,48044,NON-STEM,2
Logging Equipment Operators,45189.5,NON-STEM,2
"Logging Workers, All Other",36623,NON-STEM,2
Machine Feeders and Offbearers,30504.6,NON-STEM,1
Maids and Housekeeping Cleaners,25203,NON-STEM,1
"Mail Clerks and Mail Machine Operators, Except Postal Service",33423.35,NON-STEM,2
"Maintenance and Repair Workers, General",41819.4,NON-STEM,2
"Makeup Artists, Theatrical and Performance",37162,NON-STEM,7
Management Analysts,89708,NON-STEM,6
"Managers, All Other",103617.6,NON-STEM,6
Manicurists and Pedicurists,39727.8,NON-STEM,7
Marketing Managers,125454.4,NON-STEM,6
Marriage and Family Therapists,52466.5,NON-STEM,8
Massage Therapists,51558.6,NON-STEM,7
"Material Moving Workers, All Other",50077.26667,NON-STEM,1
"Meat, Poultry, and Fish Cutters and Trimmers",26813.4,NON-STEM,1
Mechanical Door Repairers,43525,NON-STEM,2
"Media and Communication Equipment Workers, All Other",62126.26667,NON-STEM,2
"Media and Communication Workers, All Other",57590,NON-STEM,2
Medical Equipment Preparers,37467.2,NON-STEM,2
Medical Secretaries,40117.6,NON-STEM,2
Medical Transcriptionists,44881.8,NON-STEM,7
"Meeting, Convention, and Event Planners",48881.2,NON-STEM,6
Mental Health and Substance Abuse Social Workers,47328,NON-STEM,6
Mental Health Counselors,46397.2,NON-STEM,8
Merchandise Displayers and Window Trimmers,30548.8,NON-STEM,2
"Metal Workers and Plastic Workers, All Other",33891.4,NON-STEM,2
Metal-Refining Furnace Operators and Tenders,40657.55,NON-STEM,2
"Meter Readers, Utilities",46572.2,NON-STEM,2
"Middle School Teachers, Except Special and Career/Technical Education",62151.5,NON-STEM,6
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",42970.8,NON-STEM,2
Millwrights,62199.5,NON-STEM,3
"Mixing and Blending Machine Setters, Operators, and Tenders",35011.2,NON-STEM,2
"Mobile Heavy Equipment Mechanics, Except Engines",50179.4,NON-STEM,2
"Model Makers, Metal and Plastic",64813.33333,NON-STEM,2
Models,36600,NON-STEM,1
"Molders, Shapers, and Casters, Except Metal and Plastic",37840.15,NON-STEM,2
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",32199.8,NON-STEM,2
"Morticians, Undertakers, and Funeral Directors",49524.2,NON-STEM,5
Motion Picture Projectionists,27715,NON-STEM,1
"Motor Vehicle Operators, All Other",28045.66667,NON-STEM,1
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",42026.55,NON-STEM,2
Music Directors and Composers,58252.45,NON-STEM,6
Musical Instrument Repairers and Tuners,38587.33333,NON-STEM,3
New Accounts Clerks,38579.2,NON-STEM,2
Nonfarm Animal Caretakers,26774.4,NON-STEM,2
Occupational Therapy Aides,40588,NON-STEM,2
"Office and Administrative Support Workers, All Other",36171.8,NON-STEM,2
"Office Clerks, General",33113.4,NON-STEM,2
"Office Machine Operators, Except Computer",33945.4,NON-STEM,2
Ophthalmic Laboratory Technicians,32945.2,NON-STEM,2
Order Clerks,36419.4,NON-STEM,2
Orderlies,32656.35,NON-STEM,2
Packaging and Filling Machine Operators and Tenders,29965,NON-STEM,2
"Packers and Packagers, Hand",26374.8,NON-STEM,1
"Painters, Construction and Maintenance",40334.4,NON-STEM,1
"Painters, Transportation Equipment",49462.4,NON-STEM,2
"Painting, Coating, and Decorating Workers",41515,NON-STEM,1
"Paper Goods Machine Setters, Operators, and Tenders",40167.4,NON-STEM,2
Paralegals and Legal Assistants,56032,NON-STEM,5
Parking Enforcement Workers,48126.5,NON-STEM,2
Parking Lot Attendants,27952.05,NON-STEM,1
Parts Salespersons,36501.8,NON-STEM,1
"Patternmakers, Metal and Plastic",59990.6,NON-STEM,2
"Patternmakers, Wood",60652,NON-STEM,2
Payroll and Timekeeping Clerks,41769.5,NON-STEM,2
Personal Care Aides,24714.4,NON-STEM,1
"Personal Care and Service Workers, All Other",24270.15,NON-STEM,2
Pest Control Workers,48250.06667,NON-STEM,2
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",34550.6,NON-STEM,2
Pharmacy Aides,30395.8,NON-STEM,2
"Philosophy and Religion Teachers, Postsecondary",67884.2,NON-STEM,9
Phlebotomists,35380.4,NON-STEM,7
Photographers,36450.6,NON-STEM,2
Photographic Process Workers and Processing Machine Operators,32437.6,NON-STEM,2
Physical Therapist Aides,28597.8,NON-STEM,2
Plasterers and Stucco Masons,56094.4,NON-STEM,1
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",39398.9,NON-STEM,2
Police and Sheriff's Patrol Officers,73949,NON-STEM,2
"Police, Fire, and Ambulance Dispatchers",55031.2,NON-STEM,2
Postal Service Clerks,52226.4,NON-STEM,2
Postal Service Mail Carriers,53135.6,NON-STEM,2
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",49583.6,NON-STEM,2
Postmasters and Mail Superintendents,76080,NON-STEM,2
"Postsecondary Teachers, All Other",72869.26667,NON-STEM,9
"Pourers and Casters, Metal",44238.26667,NON-STEM,2
Power Distributors and Dispatchers,92855.53333,NON-STEM,2
Power Plant Operators,75899,NON-STEM,2
"Precision Instrument and Equipment Repairers, All Other",62588,NON-STEM,2
Prepress Technicians and Workers,41532.25,NON-STEM,7
"Preschool Teachers, Except Special Education",29136.5,NON-STEM,5
"Pressers, Textile, Garment, and Related Materials",27549.73333,NON-STEM,1
Print Binding and Finishing Workers,31980,NON-STEM,2
Printing Press Operators,40943,NON-STEM,2
Private Detectives and Investigators,58772.6,NON-STEM,2
Probation Officers and Correctional Treatment Specialists,57342.75,NON-STEM,6
Procurement Clerks,39349.5,NON-STEM,2
Producers and Directors,71590.2,NON-STEM,6
"Production Workers, All Other",29993.6,NON-STEM,2
"Production, Planning, and Expediting Clerks",49283.2,NON-STEM,2
Proofreaders and Copy Markers,37546,NON-STEM,6
"Property, Real Estate, and Community Association Managers",71912.8,NON-STEM,2
