OCCTITLE,ANNMEDSAL,STEMFLAG,EDLEVELNUM
"Protective Service Workers, All Other",38111,NON-STEM,2
Psychiatric Aides,31628.75,NON-STEM,2
Public Address System and Other Announcers,27651.6,NON-STEM,2
Public Relations and Fundraising Managers,98288.2,NON-STEM,6
Public Relations Specialists,62639,NON-STEM,6
"Pump Operators, Except Wellhead Pumpers",63187,NON-STEM,2
Purchasing Managers,109226.8,NON-STEM,6
Radio and Television Announcers,57863.2,NON-STEM,6
Rail Car Repairers,51351.66667,NON-STEM,2
"Rail Transportation Workers, All Other",57570,NON-STEM,2
Rail-Track Laying and Maintenance Equipment Operators,56288,NON-STEM,2
"Railroad Brake, Signal, and Switch Operators",51483,NON-STEM,2
Railroad Conductors and Yardmasters,55982.26667,NON-STEM,2
Real Estate Brokers,75988.61667,NON-STEM,2
Real Estate Sales Agents,48453.4,NON-STEM,2
Receptionists and Information Clerks,30901.2,NON-STEM,2
Recreation Workers,33644.95,NON-STEM,2
Recreational Vehicle Service Technicians,44283.73333,NON-STEM,2
Refuse and Recyclable Material Collectors,46190.2,NON-STEM,1
Rehabilitation Counselors,39926,NON-STEM,8
"Religious Workers, All Other",32048.66667,NON-STEM,6
Reporters and Correspondents,44678.8,NON-STEM,6
Reservation and Transportation Ticket Agents and Travel Clerks,33294,NON-STEM,2
Residential Advisors,32400.4,NON-STEM,2
Retail Salespersons,30380.6,NON-STEM,1
Riggers,47966.4,NON-STEM,2
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",40298.2,NON-STEM,2
Roofers,45180.6,NON-STEM,1
Sailors and Marine Oilers,50383.2,NON-STEM,1
"Sales and Related Workers, All Other",39670.4,NON-STEM,2
Sales Managers,115057,NON-STEM,6
"Sales Representatives, Services, All Other",65731.8,NON-STEM,2
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",70746.8,NON-STEM,2
"Sawing Machine Setters, Operators, and Tenders, Wood",34673.4,NON-STEM,2
"Secondary School Teachers, Except Special and Career/Technical Education",62075,NON-STEM,6
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",38299.2,NON-STEM,2
"Securities, Commodities, and Financial Services Sales Agents",76734.2,NON-STEM,6
Security and Fire Alarm Systems Installers,47157.2,NON-STEM,2
Security Guards,32588.6,NON-STEM,2
Self-Enrichment Education Teachers,44917,NON-STEM,2
Semiconductor Processors,34645.86667,NON-STEM,5
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",35107,NON-STEM,2
Septic Tank Servicers and Sewer Pipe Cleaners,42311.8,NON-STEM,1
Set and Exhibit Designers,51174.8,NON-STEM,6
"Sewers, Hand",32015.1,NON-STEM,1
Sewing Machine Operators,29295.75,NON-STEM,1
Shampooers,23952,NON-STEM,1
"Shipping, Receiving, and Traffic Clerks",34929.8,NON-STEM,2
Shoe and Leather Workers and Repairers,28803.66667,NON-STEM,2
Signal and Track Switch Repairers,69547,NON-STEM,2
Skincare Specialists,38889.35,NON-STEM,7
Slaughterers and Meat Packers,27332.6,NON-STEM,1
Slot Supervisors,51925.8,NON-STEM,2
Social and Community Service Managers,66133,NON-STEM,6
Social and Human Service Assistants,30192.2,NON-STEM,2
"Social Work Teachers, Postsecondary",80866,NON-STEM,9
"Social Workers, All Other",56206.4,NON-STEM,6
Solar Photovoltaic Installers,39431,NON-STEM,2
"Special Education Teachers, All Other",55983.44444,NON-STEM,6
"Special Education Teachers, Kindergarten and Elementary School",60564.2,NON-STEM,6
"Special Education Teachers, Middle School",61018.8,NON-STEM,6
"Special Education Teachers, Preschool",61456.6,NON-STEM,6
"Special Education Teachers, Secondary School",62146.4,NON-STEM,6
Stationary Engineers and Boiler Operators,65294,NON-STEM,2
Stock Clerks and Order Fillers,30460.6,NON-STEM,1
Substance Abuse and Behavioral Disorder Counselors,44515.2,NON-STEM,6
"Switchboard Operators, Including Answering Service",31246,NON-STEM,2
"Tailors, Dressmakers, and Custom Sewers",30288.4,NON-STEM,1
"Tank Car, Truck, and Ship Loaders",48246,NON-STEM,1
Tapers,48880.25,NON-STEM,1
"Tax Examiners and Collectors, and Revenue Agents",61781,NON-STEM,6
Taxi Drivers and Chauffeurs,26653.4,NON-STEM,1
Teacher Assistants,30950.4,NON-STEM,4
"Teachers and Instructors, All Other",48940.8,NON-STEM,6
Team Assemblers,31715.6,NON-STEM,2
Technical Writers,66448.7,NON-STEM,6
Telemarketers,27835.5,NON-STEM,1
Tellers,28846,NON-STEM,2
Textile Bleaching and Dyeing Machine Operators and Tenders,32873.73333,NON-STEM,2
"Textile Cutting Machine Setters, Operators, and Tenders",27498.42222,NON-STEM,2
"Textile, Apparel, and Furnishings Workers, All Other",29330.65556,NON-STEM,2
Tile and Marble Setters,48673.06667,NON-STEM,1
Tire Repairers and Changers,30378,NON-STEM,2
"Title Examiners, Abstractors, and Searchers",48303.6,NON-STEM,2
"Tool Grinders, Filers, and Sharpeners",56406.1,NON-STEM,2
Tour Guides and Escorts,29434.25,NON-STEM,2
Traffic Technicians,55561.2,NON-STEM,2
Training and Development Managers,98727.2,NON-STEM,6
Training and Development Specialists,63490.8,NON-STEM,6
Transit and Railroad Police,53084.33333,NON-STEM,2
"Transportation Attendants, Except Flight Attendants ",28693.4,NON-STEM,2
Transportation Inspectors,76059.4,NON-STEM,2
"Transportation Workers, All Other",35917.6,NON-STEM,2
"Transportation, Storage, and Distribution Managers",93619.8,NON-STEM,2
Travel Agents,41441.5,NON-STEM,2
Travel Guides,42157.25556,NON-STEM,2
Tree Trimmers and Pruners,44028.5,NON-STEM,2
"Umpires, Referees, and Other Sports Officials",24670,NON-STEM,2
Upholsterers,39681.2,NON-STEM,2
"Ushers, Lobby Attendants, and Ticket Takers",24231.2,NON-STEM,1
Waiters and Waitresses,27428.4,NON-STEM,1
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",33543.6,NON-STEM,2
"Woodworkers, All Other",31083.25,NON-STEM,2
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",34931.8,NON-STEM,2
Word Processors and Typists,42172,NON-STEM,2
Writers and Authors,63445.75,NON-STEM,6
Accountants and Auditors,70187,STEM,6
Actuaries,93719,STEM,6
Aerospace Engineering and Operations Technicians,71896,STEM,5
Aerospace Engineers,92288,STEM,6
Agricultural and Food Science Technicians,38584,STEM,5
Agricultural Equipment Operators,31970,STEM,1
Agricultural Inspectors,51364,STEM,6
Air Traffic Controllers,119795,STEM,5
Aircraft Mechanics and Service Technicians,63699,STEM,7
Airfield Operations Specialists,58882,STEM,2
"Airline Pilots, Copilots, and Flight Engineers",94505,STEM,6
Anesthesiologists,226186,STEM,9
Animal Scientists,73736,STEM,6
Anthropologists and Archeologists,71677,STEM,8
"Anthropology and Archeology Teachers, Postsecondary",76345,STEM,9
Appraisers and Assessors of Real Estate,74142,STEM,6
"Architects, Except Landscape and Naval",73744,STEM,6
Architectural and Civil Drafters,52412,STEM,5
Architectural and Engineering Managers,135791,STEM,6
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",74141,STEM,9
Athletic Trainers,46683,STEM,6
Atmospheric and Space Scientists,92113,STEM,6
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",87904,STEM,9
Audio and Video Equipment Technicians,44282,STEM,7
Audiologists,82172,STEM,9
Avionics Technicians,65022,STEM,5
Biochemists and Biophysicists,84703.2,STEM,9
"Biological Science Teachers, Postsecondary",84733,STEM,9
"Biological Scientists, All Other",73841.8,STEM,6
Biological Technicians,44160.4,STEM,6
Biomedical Engineers,82361.2,STEM,6
Boilermakers,61731.25,STEM,3
"Bookkeeping, Accounting, and Auditing Clerks",41524,STEM,4
Brickmasons and Blockmasons,60303.8,STEM,3
Broadcast Technicians,36551,STEM,5
Budget Analysts,67014.6,STEM,6
Bus and Truck Mechanics and Diesel Engine Specialists,51861,STEM,2
"Business Operations Specialists, All Other",69696,STEM,6
"Business Teachers, Postsecondary",79109,STEM,9
"Buyers and Purchasing Agents, Farm Products",82346,STEM,6
Cabinetmakers and Bench Carpenters,39539.8,STEM,2
Camera and Photographic Equipment Repairers,60886,STEM,5
"Captains, Mates, and Pilots of Water Vessels",77177.2,STEM,7
Cardiovascular Technologists and Technicians,69108,STEM,5
"Career/Technical Education Teachers, Middle School",64042,STEM,6
"Career/Technical Education Teachers, Secondary School",63391.2,STEM,6
Carpenters,48626,STEM,3
Cartographers and Photogrammetrists,69192.4,STEM,6
Chemical Engineers,81485.4,STEM,6
Chemical Equipment Operators and Tenders,50100.8,STEM,2
Chemical Plant and System Operators,50006,STEM,2
Chemical Technicians,54615.2,STEM,5
"Chemistry Teachers, Postsecondary",82699.75,STEM,9
Chemists,68400.4,STEM,6
Chiropractors,70454.8,STEM,9
Civil Engineering Technicians,59662,STEM,5
Civil Engineers,80563.8,STEM,6
"Claims Adjusters, Examiners, and Investigators",67558.8,STEM,2
"Clinical, Counseling, and School Psychologists",71119.8,STEM,9
Commercial and Industrial Designers,66488.2,STEM,6
Commercial Pilots,78803.6,STEM,2
Community Health Workers,42954.66667,STEM,2
"Compensation, Benefits, and Job Analysis Specialists",74914,STEM,6
Computer and Information Research Scientists,136592,STEM,9
Computer and Information Systems Managers,130717,STEM,6
Computer Hardware Engineers,113362,STEM,6
Computer Network Architects,110319.8,STEM,6
Computer Network Support Specialists,67003.2,STEM,5
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",68665.25,STEM,2
"Computer Occupations, All Other",73561.4,STEM,6
Computer Operators,42762.66667,STEM,2
Computer Programmers,84019.6,STEM,6
"Computer Science Teachers, Postsecondary",91487,STEM,9
Computer Systems Analysts,90223,STEM,6
Computer User Support Specialists,53148.2,STEM,4
"Computer-Controlled Machine Tool Operators, Metal and Plastic",47204.6,STEM,2
Conservation Scientists,70247.6,STEM,6
Construction and Building Inspectors,67294.2,STEM,2
Construction Managers,93043.8,STEM,6
Continuous Mining Machine Operators,56172,STEM,1
Conveyor Operators and Tenders,38592.75,STEM,1
Cost Estimators,66747.6,STEM,6
Crane and Tower Operators,65132.6,STEM,2
Credit Analysts,86638.75,STEM,6
Credit Counselors,48835.2,STEM,6
Database Administrators,86706.2,STEM,6
Dental Assistants,40937.4,STEM,7
Dental Hygienists,87335.2,STEM,5
Dental Laboratory Technicians,44028.2,STEM,2
"Dentists, All Other Specialists",238273,STEM,9
"Dentists, General",180965,STEM,9
Diagnostic Medical Sonographers,83313.8,STEM,5
Dietetic Technicians,42317.8,STEM,5
Dietitians and Nutritionists,64663,STEM,6
"Drafters, All Other",56801.2,STEM,5
"Economics Teachers, Postsecondary",80032.6,STEM,9
Economists,86686.8,STEM,8
"Education Administrators, All Other",77925.66667,STEM,6
"Education Administrators, Elementary and Secondary School",106108.3333,STEM,8
"Education Administrators, Postsecondary",103936.6667,STEM,8
"Education Administrators, Preschool and Childcare Center/Program",45021.33333,STEM,6
"Education Teachers, Postsecondary",62115.66667,STEM,9
"Electric Motor, Power Tool, and Related Repairers",53055.4,STEM,7
Electrical and Electronics Drafters,66986,STEM,5
Electrical and Electronics Engineering Technicians,62633,STEM,5
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",83957,STEM,7
Electrical Engineers,96801.4,STEM,6
Electrical Power-Line Installers and Repairers,82886,STEM,2
Electricians,67022.8,STEM,3
Electro-Mechanical Technicians,56780,STEM,5
"Electronics Engineers, Except Computer",101719.2,STEM,6
"Elementary School Teachers, Except Special Education",60676,STEM,6
Elevator Installers and Repairers,96166.8,STEM,3
Emergency Management Directors,91586.8,STEM,6
Emergency Medical Technicians and Paramedics,58850.6,STEM,7
"Engineering Teachers, Postsecondary",105023.8,STEM,9
"Engineering Technicians, Except Drafters, All Other",66913.6,STEM,5
"Engineers, All Other",86935.6,STEM,6
Environmental Engineering Technicians,62588.8,STEM,5
Environmental Engineers,85275,STEM,6
"Environmental Science and Protection Technicians, Including Health",55786.2,STEM,5
"Environmental Science Teachers, Postsecondary",103208.8,STEM,9
"Environmental Scientists and Specialists, Including Health",69763,STEM,6
Epidemiologists,95100,STEM,8
Excavating and Loading Machine and Dragline Operators,63408.2,STEM,2
Exercise Physiologists,54180.8,STEM,6
Family and General Practitioners,162465.6,STEM,9
"Farmers, Ranchers, and Other Agricultural Managers",61147,STEM,2
Financial Analysts,77984.33333,STEM,6
Financial Examiners,87705,STEM,6
Financial Managers,109709.6,STEM,6
"Financial Specialists, All Other",65682.8,STEM,6
Fire Inspectors and Investigators,88338.33333,STEM,7
Firefighters,64008.8,STEM,7
First-Line Supervisors of Construction Trades and Extraction Workers,74584.8,STEM,2
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",54453,STEM,2
First-Line Supervisors of Fire Fighting and Prevention Workers,88087.4,STEM,7
"First-Line Supervisors of Mechanics, Installers, and Repairers",66754,STEM,2
"First-Line Supervisors of Protective Service Workers, All Other",47869.6,STEM,2
Fish and Game Wardens,56079,STEM,6
Food Scientists and Technologists,66000.4,STEM,6
Forensic Science Technicians,62881.2,STEM,6
Forest and Conservation Technicians,38383,STEM,5
Forest and Conservation Workers,25010,STEM,2
Foresters,54429.8,STEM,6
Gas Plant Operators,72062,STEM,2
Geographers,76159.8,STEM,6
"Geography Teachers, Postsecondary",66200.2,STEM,9
Geological and Petroleum Technicians,41385.6,STEM,5
"Geoscientists, Except Hydrologists and Geographers",75381.2,STEM,6
Glaziers,53899.8,STEM,3
Graduate Teaching Assistants,40914,STEM,6
Graphic Designers,50142.6,STEM,6
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",85539.4,STEM,6
"Health Diagnosing and Treating Practitioners, All Other",70982.8,STEM,8
Health Educators ,53801.2,STEM,6
"Health Specialties Teachers, Postsecondary",137150.2,STEM,9
"Health Technologists and Technicians, All Other",52969.6,STEM,2
"Healthcare Practitioners and Technical Workers, All Other",67757.4,STEM,7
"Healthcare Support Workers, All Other",37951,STEM,2
Hearing Aid Specialists,57108,STEM,2
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",49971.33333,STEM,2
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",53522,STEM,7
Hydrologists,88929.6,STEM,6
Industrial Engineering Technicians,62529.2,STEM,5
Industrial Engineers,83253.6,STEM,6
Industrial Machinery Mechanics,54755,STEM,2
Industrial Production Managers,97513.4,STEM,6
Industrial Truck and Tractor Operators,38656,STEM,1
Information Security Analysts,90235.2,STEM,6
"Insurance Appraisers, Auto Damage",70197.5,STEM,7
Insurance Underwriters,72367.4,STEM,6
"Internists, General",184005,STEM,9
"Kindergarten Teachers, Except Special Education",53460,STEM,6
Landscape Architects,64032,STEM,6
Licensed Practical and Licensed Vocational Nurses,50242,STEM,7
"Life Scientists, All Other",79887,STEM,6
"Life, Physical, and Social Science Technicians, All Other",53794.8,STEM,5
Loan Officers,75143,STEM,6
Locomotive Engineers,71148,STEM,2
Logisticians,76018.4,STEM,6
Machinists,46233.8,STEM,2
Magnetic Resonance Imaging Technologists,78290.6,STEM,5
"Maintenance Workers, Machinery",45320.2,STEM,2
Marine Engineers and Naval Architects,93565.8,STEM,6
Market Research Analysts and Marketing Specialists,71969.6,STEM,6
Materials Engineers,89503,STEM,6
Materials Scientists,84740.8,STEM,6
"Mathematical Science Occupations, All Other",101204,STEM,6
"Mathematical Science Teachers, Postsecondary",78218.4,STEM,9
Mathematical Technicians,65256,STEM,6
Mathematicians,124360,STEM,8
Mechanical Drafters,61939.2,STEM,5
Mechanical Engineering Technicians,61791,STEM,5
Mechanical Engineers,81385.4,STEM,6
Medical and Clinical Laboratory Technicians,45709.8,STEM,5
Medical and Clinical Laboratory Technologists,65993,STEM,6
Medical and Health Services Managers,121135,STEM,6
Medical Appliance Technicians,39974.4,STEM,2
Medical Assistants,36069,STEM,7
Medical Equipment Repairers,58864,STEM,5
Medical Records and Health Information Technicians,41544.2,STEM,7
"Medical Scientists, Except Epidemiologists",69502.4,STEM,9
Microbiologists,72291,STEM,6
"Middle School Teachers, Except Special and Career/Technical Education",61192.66667,STEM,6
Millwrights,71029.33333,STEM,3
"Mining and Geological Engineers, Including Mining Safety Engineers",99399,STEM,6
Motorboat Mechanics and Service Technicians,57012.4,STEM,2
Motorboat Operators,61227.4,STEM,7
Motorcycle Mechanics,44375.4,STEM,7
Multimedia Artists and Animators,65578.2,STEM,6
Museum Technicians and Conservators,43004,STEM,6
Natural Sciences Managers,133008.4,STEM,6
Network and Computer Systems Administrators,77578.6,STEM,6
Nuclear Medicine Technologists,85163.2,STEM,5
Nurse Anesthetists,135441.4,STEM,8
Nurse Midwives,98529.6,STEM,8
Nurse Practitioners,103698.6,STEM,8
Nursing Assistants,29482.4,STEM,7
"Nursing Instructors and Teachers, Postsecondary",64846.4,STEM,8
Obstetricians and Gynecologists,216600.4,STEM,9
Occupational Health and Safety Specialists,71079.4,STEM,6
Occupational Health and Safety Technicians,59376.8,STEM,2
Occupational Therapists,81352.6,STEM,8
Occupational Therapy Assistants,59131.8,STEM,5
Operating Engineers and Other Construction Equipment Operators,58182.2,STEM,2
Operations Research Analysts,79507.2,STEM,6
Ophthalmic Medical Technicians,44061.2,STEM,7
"Opticians, Dispensing",43653.4,STEM,2
Optometrists,105365.4,STEM,9
Orthodontists,229218,STEM,9
Orthotists and Prosthetists,66962.2,STEM,8
Outdoor Power Equipment and Other Small Engine Mechanics,35098,STEM,2
"Paving, Surfacing, and Tamping Equipment Operators",45211.8,STEM,2
Payroll and Timekeeping Clerks,44391.66667,STEM,2
"Pediatricians, General",195399,STEM,9
Personal Financial Advisors,112052.8,STEM,6
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",62769,STEM,2
Pharmacists,121282.8,STEM,9
Pharmacy Technicians,39612,STEM,2
"Physical Scientists, All Other",106278.8,STEM,6
Physical Therapist Assistants,52700.8,STEM,5
Physical Therapists,83524.8,STEM,9
Physician Assistants,109052.4,STEM,8
"Physicians and Surgeons, All Other",203848.4,STEM,9
Physicists,141686.8,STEM,9
"Physics Teachers, Postsecondary",87722.6,STEM,9
Pile-Driver Operators,70851.2,STEM,2
Pipelayers,55760.2,STEM,1
"Plant and System Operators, All Other",58262.2,STEM,2
"Plumbers, Pipefitters, and Steamfitters",71607.2,STEM,3
Podiatrists,130302,STEM,9
"Political Science Teachers, Postsecondary",89501.2,STEM,9
Political Scientists,73421,STEM,8
Power Plant Operators,83558.25,STEM,2
"Preschool Teachers, Except Special Education",31085,STEM,5
Procurement Clerks,42534.66667,STEM,2
Psychiatric Technicians,38049.6,STEM,7
Psychiatrists,159973,STEM,9
"Psychologists, All Other",90936,STEM,8
"Psychology Teachers, Postsecondary",73255.6,STEM,9
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",62845.6,STEM,6
Radiation Therapists,95049.6,STEM,5
"Radio, Cellular, and Tower Equipment Installers and Repairs",62276.2,STEM,5
Radiologic Technologists ,68848.6,STEM,5
Rail-Track Laying and Maintenance Equipment Operators,55148.33333,STEM,2
"Recreation and Fitness Studies Teachers, Postsecondary",56812.6,STEM,9
Recreational Therapists,53006.8,STEM,6
"Refractory Materials Repairers, Except Brickmasons",42430,STEM,2
Registered Nurses,79523.6,STEM,6
Reinforcing Iron and Rebar Workers,62217,STEM,3
Respiratory Therapists,67799.2,STEM,5
Respiratory Therapy Technicians,67400,STEM,5
Sales Engineers,107722,STEM,6
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",89808.2,STEM,6
"Secondary School Teachers, Except Special and Career/Technical Education",62940.33333,STEM,6
Sheet Metal Workers,54142.8,STEM,3
Ship Engineers,72749.6,STEM,7
Social Science Research Assistants,47926.4,STEM,6
"Social Sciences Teachers, Postsecondary, All Other",85608.2,STEM,9
"Social Scientists and Related Workers, All Other",69960,STEM,6
Sociologists,67084,STEM,8
"Sociology Teachers, Postsecondary",76356,STEM,9
"Software Developers, Applications",102017.6,STEM,6
"Software Developers, Systems Software",99460.4,STEM,6
Soil and Plant Scientists,65302,STEM,6
Solar Photovoltaic Installers,39431,STEM,2
Sound Engineering Technicians,52035.8,STEM,7
Speech-Language Pathologists,74800.4,STEM,8
Stationary Engineers and Boiler Operators,63143,STEM,2
Statistical Assistants,48432.2,STEM,6
Statisticians,74011,STEM,8
Stonemasons,53431,STEM,3
Structural Iron and Steel Workers,63906.6,STEM,3
Structural Metal Fabricators and Fitters,41409,STEM,2
Surgeons,224283.6,STEM,9
Surgical Technologists,50739,STEM,7
Survey Researchers,62032,STEM,8
Surveying and Mapping Technicians,50844.6,STEM,2
Surveyors,71673.2,STEM,6
"Tax Examiners and Collectors, and Revenue Agents",52559.25,STEM,6
Tax Preparers,35213.6,STEM,2
"Telecommunications Equipment Installers and Repairers, Except Line Installers",60892.4,STEM,7
Telecommunications Line Installers and Repairers,52927.6,STEM,2
Tellers,29916.66667,STEM,2
"Therapists, All Other",63312,STEM,6
Tool and Die Makers,57982,STEM,2
Urban and Regional Planners,77185,STEM,8
Veterinarians,89630.8,STEM,9
Veterinary Assistants and Laboratory Animal Caretakers,27060.8,STEM,2
Veterinary Technologists and Technicians,33740.8,STEM,5
"Vocational Education Teachers, Postsecondary",56360.6,STEM,6
Water and Wastewater Treatment Plant and System Operators,62065.2,STEM,2
Web Developers,78426.8,STEM,5
"Welders, Cutters, Solderers, and Brazers",43453,STEM,2
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",38343.6,STEM,2
"Wholesale and Retail Buyers, Except Farm Products",52016.6,STEM,6
Zoologists and Wildlife Biologists,76631.4,STEM,6